INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG001', 'John Doe', '019-25449791', '031125-01-1438');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG180', 'Grace Lewis', '019-25449880', '930315-14-0180');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG181', 'Michael Johnson', '019-25449881', '950612-03-0181');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG182', 'Emily Davis', '019-25449882', '911206-08-0182');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG183', 'David Wilson', '019-25449883', '861005-06-0183');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG184', 'Sophia Lee', '019-25449884', '950315-04-0184');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG185', 'James Miller', '019-25449885', '890407-12-0185');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG186', 'Jessica Taylor', '019-25449886', '930201-10-0186');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG187', 'Daniel Anderson', '019-25449887', '910707-09-0187');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG188', 'Laura Moore', '019-25449888', '920903-05-0188');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG189', 'Robert Thomas', '019-25449889', '891004-12-0189');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG190', 'Sophia Lee', '019-25449890', '910601-14-0190');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG191', 'Paul Martin', '019-25449891', '920102-08-0191');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG192', 'Olivia Harris', '019-25449892', '931005-09-0192');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG193', 'Peter Clark', '019-25449893', '871209-07-0193');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG194', 'Ava Hall', '019-25449894', '950212-10-0194');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG195', 'Kevin Young', '019-25449895', '890307-11-0195');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG196', 'Emma Wright', '019-25449896', '940413-06-0196');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG197', 'Joshua King', '019-25449897', '920801-12-0197');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG198', 'Abigail Scott', '019-25449898', '961101-03-0198');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG199', 'Andrew Harris', '019-25449899', '870305-14-0199');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG200', 'Grace Lewis', '019-25449900', '900701-08-0200');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG201', 'Pat Thomtson', '019-25449791', '031125-01-1438');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG202', 'Erek Bartlam', '0935426907', '501122-13-5936');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG203', 'Tess Mityashev', '0189858777', '650607-16-2443');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG204', 'Marge Itscovitz', '0927769691', '501130-14-5596');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG205', 'Hamlen Angelo', '019-5019004', '930801-05-0424');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG206', 'Allina Yonge', '013-6196094', '501131-06-6901');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG207', 'Pavla Addington', '03-3530415', '721228-06-8584');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG208', 'Tully Castagne', '0990189804', '040430-15-5862');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG209', 'Electra Iacobucci', '018-21098237', '621109-14-4049');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG210', 'Edythe MacNeilage', '0517521453', '501002-01-0029');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG211', 'Randy Collins', '019-8754329', '750101-08-4532');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG212', 'Linda Marcus', '016-2891324', '850201-11-6784');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG213', 'Tommy Harris', '018-2547698', '780330-12-5647');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG214', 'Olivia Edwards', '017-5834691', '860430-05-3749');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG215', 'Alice Kim', '013-3765432', '820410-10-2748');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG216', 'David Clark', '012-8743659', '760401-08-6547');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG217', 'Samantha Green', '019-2745698', '780620-05-8763');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG218', 'Kevin Brown', '018-3457689', '840503-08-5763');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG219', 'Emily Wilson', '013-8543698', '900512-12-4758');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG220', 'Mark Hamson', '017-8953214', '750320-10-7894');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG221', 'Clara Finch', '019-4532216', '800512-14-8921');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG222', 'Liam Anderson', '014-7523698', '880415-11-6578');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG223', 'Sophia Davis', '013-8745236', '920612-08-4657');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG224', 'Mason Brooks', '019-5827410', '910724-09-6743');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG225', 'Amelia Thompson', '017-9654328', '850314-03-7456');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG226', 'Henry White', '016-3987452', '890810-07-3456');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG227', 'Lucas Harris', '012-4578963', '921020-05-7896');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG228', 'Isabella Parker', '018-6547895', '940506-06-3456');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG229', 'Oliver Johnson', '018-2435671', '890515-10-3786');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG230', 'Liam Harper', '017-4532149', '940817-12-6783');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG231', 'Emily Foster', '016-7236985', '880910-08-4327');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG232', 'Sophia Bailey', '013-6827459', '930610-03-5648');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG233', 'Mason Wright', '012-2435679', '920817-06-7832');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG234', 'Ella Roberts', '019-8724561', '980912-02-6785');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG235', 'James Parker', '015-8723457', '900420-08-2345');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG236', 'Amelia Clark', '017-3426597', '920617-05-9783');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG237', 'Ethan Ross', '019-3625471', '870813-10-7345');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG238', 'Isla Davies', '016-2947385', '900215-12-8347');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG239', 'Jack Anderson', '012-3765832', '950521-05-7362');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG240', 'Grace Roberts', '017-2467385', '880416-03-5749');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG241', 'Michael Morgan', '011-3287456', '850321-09-5462');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG242', 'Sophia Mitchell', '019-2348759', '900920-02-7384');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG243', 'Oliver Brown', '015-9384756', '890712-11-3745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG244', 'Amelia Thompson', '018-4578392', '920623-03-5832');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG245', 'William Johnson', '014-4728394', '950214-07-9845');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG246', 'Ava Walker', '016-3948573', '940619-05-7821');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG247', 'Emma Wilson', '019-4873621', '880612-05-8745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG248', 'Liam King', '016-3987421', '910215-09-4827');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG249', 'Noah Walker', '017-3847621', '930512-10-8473');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG250', 'Sophia Carter', '015-8376452', '940816-03-9785');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG251', 'Benjamin Harris', '011-2947586', '860314-06-8762');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG252', 'Emily Turner', '018-3847592', '880920-08-4739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG253', 'James Hill', '013-2745983', '900315-01-8472');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG254', 'Mia Phillips', '017-3958721', '920718-03-9786');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG255', 'Alexander Wright', '015-2938475', '880815-04-7629');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG256', 'Olivia Collins', '016-5934721', '920319-09-8745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG257', 'Daniel White', '016-4782365', '850817-07-9847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG258', 'Emily Harris', '013-2983475', '890414-11-7365');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG259', 'Liam Lewis', '019-2938475', '920617-09-4532');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG260', 'Mia Hall', '015-3947652', '950812-05-6389');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG261', 'Benjamin Adams', '014-3847953', '880915-04-9738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG262', 'Sophia Clark', '018-8374625', '930507-08-4756');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG263', 'James Scott', '016-5728934', '910713-07-7653');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG264', 'Olivia Parker', '013-4738295', '900214-03-8564');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG265', 'Alexander Johnson', '015-4938274', '890813-05-7629');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG266', 'Isabella King', '019-2948573', '950720-10-3827');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG267', 'Logan Martin', '016-4987621', '900712-10-4568');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG268', 'Charlotte Taylor', '013-4987325', '920115-09-8745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG269', 'William Anderson', '017-3948621', '890715-05-8764');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG270', 'Amelia Martinez', '019-5843627', '950920-11-6354');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG271', 'Ethan Harris', '012-3849657', '910215-04-7653');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG272', 'Isabella Davis', '018-3948573', '900117-07-9783');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG273', 'Alexander Thomas', '014-5734986', '930521-02-4675');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG274', 'Mia Hernandez', '015-4827395', '940623-06-2874');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG275', 'James Clark', '013-2849756', '920730-09-2847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG276', 'Ava Garcia', '012-4958736', '900513-08-5821');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG277', 'Noah Scott', '013-4827365', '901015-08-7842');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG278', 'Sophia Young', '012-5948721', '920320-03-5634');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG279', 'Liam Evans', '017-4928361', '880913-06-4823');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG280', 'Olivia Perez', '019-3847593', '900115-07-6784');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG281', 'James Rivera', '018-4739582', '880714-05-7462');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG282', 'Emily Carter', '016-3849573', '930716-12-4638');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG283', 'Alexander Murphy', '015-3849752', '950820-04-9583');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG284', 'Isabella Russell', '012-4938576', '940820-09-3745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG285', 'Mason Barnes', '013-4938576', '880812-10-8362');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG286', 'Amelia Fisher', '019-3847592', '920417-07-9754');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG287', 'Lily Thompson', '017-5938745', '901015-07-7483');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG288', 'Oliver Martin', '019-2837461', '920215-03-9875');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG289', 'Ava Robinson', '015-3948752', '950320-06-4758');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG290', 'Logan Rodriguez', '012-5947381', '900714-05-7832');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG291', 'James Jackson', '016-2847395', '880915-12-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG292', 'Sophia Lee', '013-4958741', '930917-08-5734');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG293', 'Charlotte Walker', '018-3948573', '940621-02-7654');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG294', 'Jack Harris', '017-3847652', '900620-07-5721');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG295', 'Ella White', '015-3948573', '950723-11-3845');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG296', 'William Taylor', '012-5837492', '920820-05-2874');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG297', 'Jack Harris', '017-3847652', '900620-07-5721');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG298', 'Emily Carter', '016-3849573', '930716-12-4638');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG299', 'Logan Martin', '016-4987621', '900712-10-4568');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG300', 'Alexander Wright', '015-2938475', '880815-04-7629');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG301', 'David Wilson', '019-25449883', '861005-06-0183');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG302', 'Daniel Anderson', '019-25449887', '910707-09-0187');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG303', 'Ava Hall', '019-25449794', '951104-11-0094');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG304', 'Sophia Bailey', '013-6827459', '930610-03-5648');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG305', 'Pavla Addington', '03-3530415', '721228-06-8584');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG306', 'Amelia Clark', '019-3849574', '940715-02-3846');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG307', 'Emily Moore', '013-5938741', '870510-08-5934');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG308', 'Oliver Evans', '016-4938574', '910215-03-5648');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG309', 'Sophia Thomas', '017-4839571', '950320-05-9876');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG310', 'Jack Williams', '014-3958732', '930910-12-7835');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG311', 'Ava Robinson', '018-3849573', '900816-05-4738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG312', 'James Anderson', '015-2938471', '920520-10-5739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG313', 'Liam Taylor', '013-3849572', '950913-09-3745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG314', 'Amelia Wilson', '017-3849574', '900417-12-2846');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG315', 'Charlotte Lewis', '018-3948753', '910716-07-9874');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG316', 'Lucas Johnson', '016-2948573', '930920-11-7362');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG317', 'Hannah Moore', '012-3948572', '890814-06-4837');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG318', 'Ethan Green', '015-3849571', '900815-04-3756');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG319', 'Sophia Young', '016-2948573', '950315-09-5834');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG320', 'James Lewis', '018-3849573', '930814-10-8745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG321', 'Liam Harris', '017-4839572', '910314-07-4739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG322', 'Amelia Clark', '019-3849574', '940715-02-3846');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG323', 'Olivia Taylor', '013-5938472', '920914-04-5738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG324', 'Lucas Evans', '017-3948571', '930820-08-5739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG325', 'Charlotte Brown', '018-2948574', '950910-05-3947');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG326', 'William Martinez', '015-3948572', '920610-09-3748');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG327', 'Alexander Moore', '016-3948572', '900414-10-3758');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG328', 'Emma Johnson', '018-3958743', '930713-06-5734');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG329', 'Noah Thompson', '015-4938571', '910216-08-3845');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG330', 'Olivia White', '013-3948574', '900917-05-7634');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG331', 'Lucas Anderson', '012-3849573', '860916-04-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG332', 'Mia Martinez', '017-3849574', '920415-03-2836');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG333', 'Sophia Lewis', '019-3849573', '950714-09-5734');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG334', 'James Clark', '014-3948572', '930519-07-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG335', 'Emily Garcia', '013-4938573', '920315-09-5634');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG336', 'William Evans', '015-3849574', '910420-08-3745');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG337', 'Aiden Morgan', '017-3849573', '900315-09-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG338', 'Isabella Carter', '018-3948572', '930715-07-5829');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG339', 'Charlotte Johnson', '013-5938472', '880315-08-3765');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG340', 'Mason Green', '014-3958732', '940713-05-4739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG341', 'Liam Hernandez', '016-3948573', '950715-04-5738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG342', 'Sophia Davis', '012-4938573', '930820-11-3845');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG343', 'Emily Thompson', '019-3849574', '900914-09-5738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG344', 'Logan White', '015-3948573', '910315-10-3846');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG345', 'Mia Evans', '016-3849571', '900620-05-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG346', 'Noah Lewis', '018-3948574', '940916-12-3759');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG347', 'Emily Brown', '017-5948572', '910315-04-5849');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG348', 'James Anderson', '016-2948753', '900712-07-3857');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG349', 'Sophia Martinez', '019-3948572', '930513-06-5943');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG350', 'Lucas Davis', '013-5938471', '950815-09-3748');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG351', 'Isabella Johnson', '018-3948573', '920614-03-2849');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG352', 'Mason Hernandez', '015-3849574', '900416-02-5738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG353', 'Charlotte Lewis', '014-4938573', '940517-08-3759');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG354', 'Noah Wilson', '016-3948571', '950617-05-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG355', 'Liam White', '017-4839572', '880915-06-3748');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG356', 'Olivia Garcia', '012-3948572', '930716-11-5739');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG357', 'Ethan Williams', '017-4938572', '900917-08-5743');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG358', 'Emma Johnson', '016-3849574', '920817-03-8473');
